Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Odom Group,milesjulia@jackson.biz,"36317 Brandon Prairie Apt. 662, Jasonburgh, WA 57576",23.07,14,85.71,1,839,10.5,4,23.4,1.29,20.0,Approved
"Barton, Robinson and Norton",melanie74@yahoo.com,"20764 Michael Via, New Ryan, WY 51458",36.41,17,81.06,0,845,3.39,1,17.54,2.49,20.0,Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",44.58,12,91.51,0,805,14.07,8,15.38,5.92,20.0,Approved
Robbins-Rodgers,bdixon@gmail.com,"6490 Mckenzie Extensions, North Marialand, AZ 32356",21.2,13,83.5,0,803,8.99,5,15.93,7.09,20.0,Approved
Cox-Guzman,jonathan36@lara.com,"5578 Burch Orchard Apt. 338, Lake Teresa, MI 53313",47.83,12,98.04,1,818,7.67,3,21.72,7.13,20.0,Approved
"Martin, Myers and Drake",duanelevine@gmail.com,"191 Collins Fort, Brucestad, IA 08987",40.38,17,80.83,0,803,7.62,10,16.8,8.73,20.0,Approved
Duncan PLC,jennifer31@villanueva.org,"409 Brendan Oval Apt. 670, Lake Eric, DE 55629",48.13,5,95.45,0,825,6.36,3,20.46,4.15,20.0,Approved
Harris Ltd,jeanette31@anderson.biz,"017 Mark Point Suite 274, Katherineside, CT 73467",47.89,11,95.36,3,805,3.92,7,12.23,5.91,15.54,Not Approved
"Russo, Castaneda and Walker",susannichols@leblanc.com,"98724 Elizabeth Pike, Jensenville, NE 68245",27.62,1,66.13,3,650,3.45,16,17.33,6.15,15.84,Not Approved
Middleton-Cooper,thomas59@yahoo.com,"43769 Warner Station, South Scott, IA 38794",38.15,7,99.3,0,847,10.69,7,19.18,1.67,20.0,Approved
"Watkins, Hernandez and Yoder",stephanie29@garcia-powell.com,"2046 Lee Pine, Brettchester, NC 82334",47.73,6,89.44,0,843,6.48,2,19.31,3.5,20.0,Approved
Duncan PLC,jennifer31@villanueva.org,"409 Brendan Oval Apt. 670, Lake Eric, DE 55629",24.77,16,88.69,1,831,6.36,9,17.61,9.31,20.0,Approved
"Snyder, Rodriguez and Swanson",dennis81@gmail.com,"40513 Hamilton Ridge, Bradleyside, VT 08608",42.67,5,97.42,0,826,3.28,5,20.42,9.01,20.0,Approved
Juarez-Farrell,stephenslarry@walker.com,"781 Roberts Station Apt. 423, Harrisonmouth, DE 02363",46.66,11,89.73,1,804,4.23,8,16.74,8.23,20.0,Approved
Singleton-Waller,rdominguez@hotmail.com,"USNV Sullivan, FPO AP 78769",38.44,18,89.96,0,838,5.71,8,16.42,3.53,20.0,Approved
Kim Ltd,kingangelica@hotmail.com,"91238 Davis Trace, Lake Maureen, PA 34639",17.02,19,67.91,0,650,6.04,18,24.93,1.25,9.78,Not Approved
Robles Ltd,bhernandez@hotmail.com,"79767 Tyrone Coves, Waltersstad, ID 87157",43.18,15,85.61,0,826,11.7,2,17.03,6.34,20.0,Approved
Franklin-Francis,millerdarren@gmail.com,"68466 Wilson Row Apt. 615, Wallacefurt, NH 72675",26.6,10,95.48,0,847,7.35,6,22.9,3.89,20.0,Approved
Warner PLC,pclark@moyer-cruz.com,"8164 Robert Brook, East Gabriella, ME 32942",18.15,7,79.47,0,753,9.34,5,6.5,1.36,15.37,Not Approved
"Combs, Thomas and Rodriguez",john52@jones.net,"3283 Taylor Branch Apt. 545, North John, MT 06050",48.22,10,85.27,1,839,13.61,7,22.98,9.3,20.0,Approved
Mercado Ltd,mcguiretracy@lambert-mejia.com,"61707 Christopher Park Suite 549, Rickyport, MO 38826",47.53,9,87.56,0,826,12.04,2,24.15,4.43,20.0,Approved
"Franklin, Palmer and Gonzalez",iankelly@yahoo.com,"5434 Hannah Lakes, Port Roberttown, TN 79220",29.14,11,88.43,1,847,10.12,4,16.78,9.63,20.0,Approved
Whitehead-Brooks,adamsstephanie@wilson.info,"128 Cunningham Expressway Suite 266, West Jennifer, MD 84696",16.04,9,95.78,3,683,5.7,5,22.95,3.37,19.35,Not Approved
Simon-Campbell,whiteheadaustin@hotmail.com,"9680 David Spring Suite 001, Kimburgh, IN 02499",43.4,7,90.71,1,829,12.9,7,20.92,6.02,20.0,Approved
Davis-Dunn,karenjoseph@yahoo.com,"72762 Keller Freeway Suite 899, Candacefurt, CO 11640",43.35,19,85.44,0,831,11.25,9,16.52,6.83,20.0,Approved
"Dennis, Gibson and Williams",rodriguezmark@yahoo.com,"947 Robert Brook Suite 306, North Alexisshire, MT 43890",42.7,7,95.0,1,823,3.78,5,16.93,5.38,20.0,Approved
Bautista-Valentine,qgreen@yahoo.com,"4695 Spencer Gardens, Lake Noahland, CT 96463",38.44,6,86.5,1,841,5.04,5,17.57,1.53,20.0,Approved
Thompson Ltd,gomezlisa@gmail.com,"60958 Kristopher Roads Suite 431, Davidchester, PA 05068",21.55,18,86.76,0,832,5.43,9,13.2,1.74,20.0,Not Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",44.58,12,91.51,0,805,14.07,8,15.38,5.92,20.0,Approved
"Nicholson, Pineda and Herrera",timothykey@schultz.com,"USCGC Hunter, FPO AP 57155",33.55,8,85.21,0,840,5.94,2,21.74,4.73,20.0,Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",36.99,5,97.47,1,842,11.02,4,22.33,6.46,20.0,Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",43.37,18,94.0,0,818,12.48,4,19.55,8.91,20.0,Approved
Clark Group,brian44@yahoo.com,"68061 Gordon Lane Suite 283, East Susanburgh, MN 08054",46.86,13,88.47,0,835,14.1,5,21.13,3.24,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",23.66,13,93.67,0,820,6.17,2,24.36,1.72,20.0,Approved
Morse Inc,justin78@yahoo.com,"11241 Gregory Isle Suite 759, Jenniferfurt, OH 07983",26.37,7,81.81,0,820,7.38,5,20.82,9.21,20.0,Approved
Craig-Morgan,susan77@edwards.org,"2829 Jessica Alley, Johnnyburgh, TN 26822",43.59,8,93.11,0,847,11.43,4,17.17,4.17,20.0,Approved
"Dennis, Gibson and Williams",rodriguezmark@yahoo.com,"947 Robert Brook Suite 306, North Alexisshire, MT 43890",22.98,16,90.77,1,833,3.78,7,21.47,2.39,20.0,Approved
Simmons-Lee,timothy10@gmail.com,"1658 Smith Estates, Port Adriennemouth, GA 93874",31.96,13,99.64,0,836,6.37,9,24.44,5.79,20.0,Approved
Smith Ltd,vgonzalez@taylor.com,"7801 Harris Dale Apt. 051, Holmesshire, WA 56470",27.79,5,80.65,2,650,7.75,13,7.4,1.71,6.93,Not Approved
"Davis, Barton and Martinez",brownveronica@olson.org,"418 Parsons Ramp Suite 493, Nancyfort, OK 93235",42.8,13,96.58,1,820,11.38,4,18.79,3.29,20.0,Approved
"Kelly, Leonard and Byrd",jennifer33@garcia.biz,"580 Alyssa Bypass Apt. 622, New Duaneberg, CT 01768",27.03,6,95.07,1,847,6.54,5,19.15,6.69,20.0,Approved
"Marquez, Brown and Garcia",laurakennedy@gmail.com,"0801 Antonio Square, Mauricefurt, WY 49658",34.9,6,89.35,1,812,3.15,2,16.07,8.41,20.0,Approved
"Rice, Davis and Price",maryhutchinson@miller.com,"USNV Clark, FPO AP 48253",24.45,17,68.02,2,812,5.32,1,5.78,3.18,20.0,Not Approved
Wood LLC,princenancy@yahoo.com,"3640 Kathleen Shores Suite 973, South Kendraport, MA 77164",34.85,14,83.06,1,800,3.36,9,20.51,5.47,20.0,Approved
"Diaz, Hall and Washington",michael68@campbell.biz,"03176 Tran Islands Suite 745, Jamesport, KS 48446",33.39,6,90.88,1,842,4.03,1,23.92,1.18,20.0,Approved
